no,channel,subs,views,date,like,hate,review
190,[꿀템TV]클템유튜브,384000,"145,738",2020.7.16.,1300,45,254
191,[꿀템TV]클템유튜브,384000,"137,907",2020.7.15.,1100,37,206
192,[꿀템TV]클템유튜브,384000,"193,868",2020.7.14.,1500,80,"1,282"
193,[꿀템TV]클템유튜브,384000,"122,961",2020.7.13.,956,36,150
194,[꿀템TV]클템유튜브,384000,"129,180",2020.7.12.,947,45,186
195,[꿀템TV]클템유튜브,384000,"102,522",2020.7.11.,855,37,119
196,[꿀템TV]클템유튜브,384000,"105,811",2020.7.10.,1000,30,239
197,[꿀템TV]클템유튜브,384000,"180,020",2020.7.9.,1200,62,246
198,[꿀템TV]클템유튜브,384000,"119,664",2020.7.8.,1100,35,216
199,[꿀템TV]클템유튜브,384000,"142,911",2020.7.7.,1100,44,239
200,[꿀템TV]클템유튜브,384000,"388,911",2020.7.6.,2300,161,"1,736"
